id	"Comp. Word"	Frequency	Pronunciation	"English Translation"
7869	使者	415	sisya	messenger
7870	銃声	415	zyuusei	gunshot
7871	人骨	415	zinkotu	"human bones"
7872	便秘	415	benpi	constipation
7873	差益	414	saeki	"marginal profits"
7874	授乳	414	zyunyuu	breast-feeding
7875	草木	414	kusaki	plants
7876	鳥獣	414	tyoozyuu	"birds and wild animals"
7877	鈍感	414	donkan	thickheadedness
7878	任用	414	ninyoo	appointment
7879	領袖	414	ryoosyuu	leader
7880	河原	413	kawara	"dry river bed"
7881	貫録	413	kanroku	presence
7882	天狗	413	tengu	"long-nosed goblin"
7883	読本	413	tokuhon	reading-book
7884	看過	412	kanka	connivance
7885	痛快	412	tuukai	"intense pleasure"
7886	廃校	412	haikoo	"abolition or closing of a school"
7887	埋設	412	maisetu	underground
7888	目下	412	mokka	"at present"
7889	月報	411	geppoo	"monthly report"
7890	高波	411	takanami	"high waves"
7891	収受	411	syuuzyu	reception
7892	蘇生	411	sosei	rebirth
7893	逃避	411	toohi	escape
7894	返球	411	henkyuu	"return toss"
7895	王族	410	oozoku	royalty
7896	極意	410	gokui	"essential point"
7897	古着	410	hurugi	"old clothes"
7898	親元	410	oyamoto	"one's parents' home"
7899	伝道	410	dendoo	proselytizing
7900	暗転	409	anten	"theatrical blackout"
7901	雅楽	409	gagaku	"old Japanese court music"
7902	公道	409	koodoo	"public road"
7903	口腔	409	kookoo	"the oral cavity"
7904	詐称	409	sasyoo	misrepresentation
7905	跳躍	409	tyooyaku	jump
7906	鎮火	409	tinka	extinguishing
7907	突発	409	toppatu	outbreak
7908	入廷	409	nyuutei	"admission to the courtroom"
7909	黙秘	409	mokuhi	"keep silent"
7910	応札	408	oosatu	bid
7911	音量	408	onryoo	volume
7912	固形	408	kokei	solid
7913	主犯	408	syuhan	"principal offence"
7914	重層	408	zyuusoo	multistoried
7915	線上	408	senzyoo	"on the line"
7916	淡泊	408	tanpaku	light
7917	鉄工	408	tekkoo	ironworking
7918	特質	408	tokusitu	characteristic
7919	農法	408	noohoo	"farming methods"
7920	平時	408	heizi	"normal times"
7921	傍観	408	bookan	"looking on"
7922	悪者	407	warumono	"bad fellow"
7923	医局	407	ikyoku	"medical office"
7924	黄砂	407	koosa	loess
7925	寝台	407	sindai	bed
7926	水量	407	suiryoo	"quantity or volume of water"
7927	節度	407	setudo	moderation
7928	線香	407	senkoo	"incense stick"
7929	排斥	407	haiseki	rejection
7930	満月	407	mangetu	"full moon"
7931	校歌	406	kooka	"school song"
7932	集配	406	syuuhai	"collection and delivery"
7933	重宝	406	tyoohoo	convenient
7934	石橋	406	isibasi	"stone bridge"
7935	先例	406	senrei	precedent
7936	足音	406	asioto	footsteps
7937	反逆	406	hangyaku	treason
7938	密閉	406	mippei	airtight
7939	迷宮	406	meikyuu	labyrinth
7940	皆既	405	kaiki	"total eclipse"
7941	外装	405	gaisoo	exterior
7942	完備	405	kanbi	"fully equipped"
7943	曲目	405	kyokumoku	program
7944	手帖	405	tetyoo	notebook
7945	造語	405	zoogo	"coined word"
7946	泥酔	405	deisui	"dead drunk"
7947	文法	405	bunpoo	grammar
7948	減損	404	genson	decrease
7949	品位	404	hini	grace
7950	復刊	404	hukkan	reissue
7951	別枠	404	betuwaku	additional
7952	無冠	404	mukan	uncrowned
7953	薬価	404	yakka	"National Health Insurance drug price"
7954	域外	403	ikigai	"outside the area"
7955	銀色	403	giniro	silver
7956	上体	403	zyootai	"upper body"
7957	鍛錬	403	tanren	tempering
7958	廃材	403	haizai	"scrap wood"
7959	洋楽	403	yoogaku	"Western music"
7960	医長	402	ityoo	"medical director"
7961	王妃	402	oohi	queen
7962	機敏	402	kibin	clever
7963	巡航	402	zyunkoo	cruise
7964	文具	402	bungu	stationery
7965	摩耗	402	mamoo	wear
7966	出撃	401	syutugeki	sortie
7967	総督	401	sootoku	governor-general
7968	対数	401	taisuu	logarithm
7969	着衣	401	tyakui	"one's clothes"
7970	伯父	401	ozi	uncle
7971	発芽	401	hatuga	germination
7972	仏語	401	hutugo	French
7973	目録	401	mokuroku	catalogue
7974	奇襲	400	kisyuu	"surprise attack"
7975	屈託	400	kuttaku	worry
7976	刑期	400	keiki	"prison term"
7977	厚遇	400	kooguu	"cordial welcome"
7978	司教	400	sikyoo	bishop
7979	自生	400	zisei	"growing wild"
7980	小石	400	koisi	pebble
7981	知能	400	tinoo	intelligence
7982	熱血	400	nekketu	"hot blood"
7983	半々	400	hanhan	"half and half"
7984	忍者	399	ninzya	ninja
7985	偏差	399	hensa	deflection
7986	魚類	398	gyorui	fish
7987	吹雪	398	hubuki	"snow storm"
7988	正規	398	seiki	regular
7989	先天	398	senten	inherent
7990	内縁	398	naien	"de facto marriage"
7991	部落	398	buraku	hamlet
7992	名産	398	meisan	"noted product"
7993	空転	397	kuuten	racing
7994	本木	397	motoki	"original stock"
7995	安住	396	anzyuu	"living in peace"
7996	軍閥	396	gunbatu	"military clique or party"
7997	携行	396	keikoo	carrying
7998	誤審	396	gosin	misjudgment
7999	打力	396	daryoku	"batting power"
8000	着色	396	tyakusyoku	colouring
8001	破局	396	hakyoku	catastrophe
8002	浮動	396	hudoo	floating
8003	平易	396	heii	easy
8004	麒麟	396	kirin	giraffe
8005	悪徳	395	akutoku	vice
8006	終焉	395	syuuen	demise
8007	上記	395	zyooki	above-mentioned
8008	請託	395	seitaku	solicitation
8009	前々	395	maemae	beforehand
8010	造園	395	zooen	"landscape gardening"
8011	中級	395	tyuukyuu	"intermediate level"
8012	帝王	395	teioo	sovereign
8013	毒素	395	dokuso	toxin
8014	乳業	395	nyuugyoo	"dairy industry"
8015	麦芽	395	bakuga	malt
8016	以南	394	inan	"south of"
8017	義足	394	gisoku	"artificial leg"
8018	仰天	394	gyooten	"being amazed"
8019	局地	394	kyokuti	municipal
8020	死生	394	sisei	"life and death"
8021	職域	394	syokuiki	"range of one's work"
8022	陣地	394	zinti	encampment
8023	総見	394	sooken	"observing a performance in a large group"
8024	総力	394	sooryoku	"total energy"
8025	当惑	394	toowaku	bewilderment
8026	同化	394	dooka	assimilation
8027	俳壇	394	haidan	"the world of the haiku"
8028	霊場	394	reizyoo	"sacred ground"
8029	乖離	394	kairi	divergence
8030	延滞	393	entai	arrears
8031	黒幕	393	kuromaku	"black curtain"
8032	小僧	393	kozoo	youngster
8033	神学	393	singaku	theology
8034	近接	392	kinsetu	neighboring
8035	修道	392	syuudoo	learning
8036	稚魚	392	tigyo	fry
8037	点滅	392	tenmetu	"switching on and off"
8038	年長	392	nentyoo	seniority
8039	年輪	392	nenrin	"annual tree ring"
8040	便座	392	benza	"toilet seat"
8041	質素	391	sisso	simplicity
8042	弱腰	391	yowagosi	"weak attitude"
8043	中佐	391	tyuusa	"lieutenant colonel"
8044	悪玉	390	akudama	"bad character"
8045	兼業	390	kengyoo	"side line"
8046	古豪	390	kogoo	veteran
8047	湖沼	390	kosyoo	"lakes and marshes"
8048	公人	390	koozin	"public character"
8049	蛇行	390	dakoo	meandering
8050	出自	390	syutuzi	birthplace
8051	肉食	390	nikusyoku	"meat eating"
8052	用心	390	yoozin	care
8053	軍服	389	gunpuku	"military or naval uniform"
8054	幻覚	389	genkaku	hallucination
8055	黒色	389	kokusyoku	black
8056	散々	389	sanzan	thoroughly
8057	写生	389	syasei	sketching
8058	修業	389	syugyoo	"pursuit of knowledge"
8059	出社	389	syussya	"going to work"
8060	小町	389	komati	"a belle"
8061	心地	389	kokoti	feeling
8062	図柄	389	zugara	design
8063	随分	389	zuibun	very
8064	繁盛	389	hanzyoo	prosperity
8065	編者	389	hensya	editor
8066	祝辞	388	syukuzi	"congratulatory address"
8067	真田	388	sanada	plait
8068	霊園	388	reien	cemetery
8069	死闘	387	sitoo	"life or death struggle"
8070	失意	387	situi	disappointment
8071	白水	387	siromizu	"color of water after washing rice"
8072	並立	387	heiritu	"standing abreast"
8073	木簡	387	mokkan	"narrow, long, and thin pieces of wood strung together that were used to write on in ancient times"
8074	木版	387	mokuhan	"wood-block printing"
8075	一同	386	itidoo	"all present"
8076	逸品	386	ippin	"article of rare beauty"
8077	隠匿	386	intoku	concealment
8078	号砲	386	goohoo	"signal gun"
8079	常々	386	tunezune	always
8080	鎮痛	386	tintuu	"pain relief"
8081	縫製	386	hoosei	sewing
8082	夜勤	386	yakin	"night shift"
8083	余念	386	yonen	"another idea"
8084	浴場	386	yokuzyoo	bath
8085	愛憎	385	aizoo	"love and hate"
8086	家政	385	kasei	"household economy"
8087	肝要	385	kanyoo	essential
8088	護岸	385	gogan	"river dike"
8089	硬派	385	kooha	"tough elements"
8090	熟読	385	zyukudoku	perusal
8091	水墨	385	suiboku	"water and ink"
8092	断水	385	dansui	"water outage"
8093	敷居	385	sikii	threshold
8094	本流	385	honryuu	"main current"
8095	迷路	385	meiro	maze
8096	引率	384	insotu	leading
8097	応接	384	oosetu	reception
8098	休眠	384	kyuumin	idle
8099	胸部	384	kyoobu	chest
8100	懇願	384	kongan	entreaty
8101	戦災	384	sensai	"war damage"
8102	他校	384	takoo	"another school"
8103	抵当	384	teitoo	mortgage
8104	適宜	384	tekigi	suitable
8105	特攻	384	tokkoo	"suicide attack"
8106	開山	383	kaisan	"founding a temple"
8107	訓戒	383	kunkai	warning
8108	公司	383	koosi	company
8109	再読	383	saidoku	rereading
8110	水色	383	mizuiro	"light blue"
8111	舌戦	383	zessen	"war of words"
8112	軟骨	383	nankotu	cartilage
8113	揶揄	383	yayu	banter
8114	家系	382	kakei	"family lineage"
8115	救難	382	kyuunan	rescue
8116	軍属	382	gunzoku	"civilian in military employ"
8117	再興	382	saikoo	revival
8118	残忍	382	zannin	cruelty
8119	社葬	382	syasoo	"company funeral"
8120	絶縁	382	zetuen	"breaking off relations"
8121	戦乱	382	senran	wars
8122	眺望	382	tyooboo	prospect
8123	抜粋	382	bassui	extract
8124	名優	382	meiyuu	"great or famous actor"
8125	溶液	382	yooeki	solution
8126	裸足	382	hadasi	barefoot
8127	脇腹	382	wakibara	side
8128	委縮	381	isyuku	withering
8129	王宮	381	ookyuu	"royal palace"
8130	間口	381	maguti	frontage
8131	寄託	381	kitaku	deposit
8132	激震	381	gekisin	"severe earthquake"
8133	光沢	381	kootaku	brilliance
8134	実勢	381	zissei	actual
8135	神髄	381	sinzui	essence
8136	同郷	381	dookyoo	"same village"
8137	流布	381	ruhu	circulation
8138	春節	380	syunsetu	"Lunar New Year"
8139	葬祭	380	soosai	"funerals and ceremonial occasions"
8140	濃淡	380	nootan	"light and shade"
8141	脳性	380	noosei	cerebral
8142	異状	379	izyoo	"something wrong"
8143	国論	379	kokuron	"public opinion"
8144	主事	379	syuzi	manager
8145	手引	379	tebiki	guidance
8146	淡水	379	tansui	"fresh water"
8147	約款	379	yakkan	agreement
8148	様々	379	samazama	varied
8149	隆盛	379	ryuusei	prosperity
8150	格調	378	kakutyoo	noble
8151	寛大	378	kandai	tolerance
8152	催促	378	saisoku	pressing
8153	私財	378	sizai	"private funds"
8154	上期	378	kamiki	"first half of the year"
8155	上訴	378	zyooso	appeal
8156	親分	378	oyabun	boss
8157	水晶	378	suisyoo	crystal
8158	先陣	378	senzin	vanguard
8159	増配	378	zoohai	"increased ration"
8160	亭主	378	teisyu	"household head"
8161	武術	378	buzyutu	"the martial arts"
8162	分業	378	bungyoo	"division of labor"
8163	変貌	378	henboo	transfiguration
8164	史観	377	sikan	"historical view"
8165	充当	377	zyuutoo	allocation
8166	水気	377	mizuke	moisture
8167	積載	377	sekisai	lading
8168	盲人	377	moozin	"blind person"
8169	嘔吐	377	ooto	vomiting
8170	山地	376	santi	"mountainous district"
8171	紫色	376	murasakiiro	violet
8172	蒸発	376	zyoohatu	evaporation
8173	心底	376	sinsoko	"one's innermost depths"
8174	新館	376	sinkan	annexe
8175	全曲	376	zenkyoku	"all compositions"
8176	太夫	376	tayuu	"high-ranking Noh actor"
8177	漠然	376	bakuzen	obscure
8178	変幻	376	hengen	transformation
8179	養父	376	yoohu	"foster father"
8180	軍曹	375	gunsoo	sergeant
8181	刻印	375	kokuin	"carved seal"
8182	実費	375	zippi	"actual expense"
8183	襲来	375	syuurai	invasion
8184	登壇	375	toodan	"taking the podium"
8185	雄弁	375	yuuben	oratory
8186	営農	374	einoo	farming
8187	借家	374	syakuya	"house for rent"
8188	選奨	374	sensyoo	recommendation
8189	体裁	374	teisai	appearance
8190	天敵	374	tenteki	"natural enemy"
8191	本職	374	honsyoku	"principal occupation"
8192	延伸	373	ensin	extension
8193	各店	373	kakuten	"each shop"
8194	細身	373	hosomi	narrow
8195	室町	373	muromati	Muromachi
8196	乗降	373	zyookoo	"getting on and off"
8197	前兆	373	zentyoo	omen
8198	全戸	373	zenko	"all the houses"
8199	貧乏	373	binboo	poverty
8200	不屈	373	hukutu	persistence
8201	塁打	373	ruida	"base hit"
8202	宴席	372	enseki	banquet
8203	季刊	372	kikan	quarterly
8204	弓道	372	kyuudoo	archery
8205	優待	372	yuutai	"preferential treatment"
8206	余暇	372	yoka	leisure
8207	乱戦	372	ransen	melee
8208	苦杯	371	kuhai	"bitter experience"
8209	係数	371	keisuu	coefficient
8210	全日	371	zenzitu	"all days"
8211	添乗	371	tenzyoo	accompanying
8212	党紀	371	tooki	"party discipline"
8213	発奮	371	happun	inspired
8214	名将	371	meisyoo	"great or famous commander"
8215	目視	371	mokusi	eyesight
8216	右目	370	migime	"right eye"
8217	奥様	370	okusama	wife
8218	小粒	370	kotubu	"small grain"
8219	追手	370	otte	pursuer
8220	低空	370	teikuu	"low altitude"
8221	転籍	370	tenseki	"transfer of residence or registration"
8222	媒介	370	baikai	intermediary
8223	彼氏	370	karesi	boyfriend
8224	部材	370	buzai	component
8225	液状	369	ekizyoo	"liquid state"
8226	加重	369	kazyuu	weighting
8227	固体	369	kotai	solid
8228	砂利	369	zyari	gravel
8229	小腸	369	syootyoo	"small intestine"
8230	大空	369	oozora	heavens
8231	単複	369	tanpuku	"simplicity and complexity"
8232	班長	369	hantyoo	"squad leader"
8233	流氷	369	ryuuhyoo	"drift ice"
8234	海浜	368	kaihin	seaside
8235	金賞	368	kinsyoo	prize
8236	高教	368	kookyoo	"your instructions or suggestions"
8237	鎖国	368	sakoku	"national isolation"
8238	瀬戸	368	seto	strait
8239	全滅	368	zenmetu	annihilation
8240	煩雑	368	hanzatu	complex
8241	防空	368	bookuu	"air defense"
8242	本籍	368	honseki	"one's permanent residence"
8243	蜜月	368	mitugetu	honeymoon
8244	盟主	368	meisyu	leader
8245	目印	368	mezirusi	mark
8246	一巡	367	itizyun	beat
8247	外注	367	gaityuu	"outside order"
8248	近日	367	kinzitu	soon
8249	交配	367	koohai	mating
8250	工具	367	koogu	tool
8251	市中	367	sityuu	"in the city"
8252	星座	367	seiza	constellation
8253	敵陣	367	tekizin	"enemy camp or line"
8254	霊長	367	reityoo	"leader with miraculous powers"
8255	遠足	366	ensoku	excursion
8256	各回	366	kakukai	"each time"
8257	確証	366	kakusyoo	"positive proof"
8258	奇抜	366	kibatu	novel
8259	昨夜	366	sakuya	"last night"
8260	残暑	366	zansyo	"late summer heat"
8261	死別	366	sibetu	bereavement
8262	大瓶	366	oobin	"large bottle"
8263	豆乳	366	toonyuu	"soy milk"
8264	南端	366	nantan	"southern tip"
8265	爆音	366	bakuon	"explosion or detonation"
8266	琵琶	366	biwa	biwa
8267	片足	366	kataasi	"one leg"
8268	牡丹	365	botan	"tree peony"
8269	割増	365	warimasi	premium
8270	巻頭	365	kantoo	"opening page of book"
8271	裁断	365	saidan	judgement
8272	仕業	365	siwaza	deed
8273	室温	365	situon	"room temperature"
8274	実地	365	zitti	practice
8275	農耕	365	nookoo	farming
8276	発声	365	hassei	utterance
8277	平原	365	heigen	plain
8278	亜鉛	364	aen	zinc
8279	安静	364	ansei	rest
8280	橋脚	364	kyookyaku	"bridge pier"
8281	試掘	364	sikutu	prospecting
8282	車窓	364	syasoo	"train window"
8283	初歩	364	syoho	basics
8284	信徒	364	sinto	layman
8285	任官	364	ninkan	appointment
8286	馬主	364	basyu	"horse owner"
8287	八月	364	hatigatu	August
8288	味噌	364	miso	miso
8289	無人	364	bunin	"lack of help"
8290	英和	363	eiwa	English-Japanese
8291	胸元	363	munamoto	breast
8292	月光	363	gekkoo	moonlight
8293	原生	363	gensei	"spontaneous generation"
8294	高低	363	kootei	"high and low"
8295	事変	363	zihen	accident
8296	順風	363	zyunpuu	"favourable wind"
8297	中元	363	tyuugen	"15th day of the 7th lunar month"
8298	複写	363	hukusya	copy
8299	邦画	363	hooga	"Japanese film"
8300	鑑別	362	kanbetu	discrimination
8301	書院	362	syoin	"drawing room"
8302	請願	362	seigan	petition
8303	太子	362	taisi	"Crown Prince"
8304	大王	362	daioo	"great king"
8305	直通	362	tyokutuu	"direct communication"
8306	直売	362	tyokubai	"selling directly"
8307	爆薬	362	bakuyaku	explosive
8308	非鉄	362	hitetu	non-ferrous
8309	非凡	362	hibon	prodigy
8310	富貴	362	huuki	"riches and honours"
8311	福音	362	hukuin	"good news"
8312	慰問	361	imon	condolences
8313	解職	361	kaisyoku	discharge
8314	金券	361	kinken	"gold certificate"
8315	挫傷	361	zasyoo	bruise
8316	再販	361	saihan	resale
8317	山場	361	yamaba	climax
8318	賛美	361	sanbi	praise
8319	自我	361	ziga	self
8320	純増	361	zyunzoo	"net increase"
8321	反核	361	hankaku	anti-nuclear
8322	文人	361	bunzin	"person of letters"
8323	墓前	361	bozen	"in front of a grave"
8324	邦訳	361	hooyaku	"translation into Japanese"
8325	雄姿	361	yuusi	"gallant figure"
8326	預言	361	yogen	prediction
8327	器官	360	kikan	organ
8328	存亡	360	sonboo	"life or death"
8329	損得	360	sontoku	"loss and gain"
8330	貸借	360	taisyaku	loan
8331	脱毛	360	datumoo	"hair removal"
8332	徴用	360	tyooyoo	drafting
8333	当番	360	tooban	"being on duty"
8334	年男	360	tosiotoko	"Man of the Year, referring to a man born in a year with the same Chinese zodiac sign as the current year"
8335	付添	360	tukisoi	"attendance on"
8336	武家	360	buke	samurai
8337	復員	360	hukuin	demobilization
8338	福袋	360	hukubukuro	"lucky-dip bag"
8339	医務	359	imu	"medical affairs"
8340	幾何	359	kika	geometry
8341	口径	359	kookei	aperture
8342	工期	359	kooki	"building time"
8343	定型	359	teikei	"fixed form"
8344	同好	359	dookoo	"similar tastes"
8345	目頭	359	megasira	"inner canthus"
8346	蚊帳	358	kaya	"mosquito net"
8347	帰路	358	kiro	"one's way back"
8348	思惑	358	siwaku	"perceptive mental disturbances"
8349	綜合	358	soogoo	synthesis
8350	配役	358	haiyaku	cast
8351	武者	358	musya	warrior
8352	用事	358	yoozi	tasks
8353	雷雨	358	raiu	thunderstorm
8354	加筆	357	kahitu	correction
8355	改組	357	kaiso	reorganization
8356	旧知	357	kyuuti	"old friend"
8357	区検	357	kuken	"local prosecutor"
8358	激闘	357	gekitoo	"fierce fighting"
8359	神妙	357	sinmyoo	meek
8360	直系	357	tyokkei	"direct descent"
8361	童心	357	doosin	"child's mind"
8362	内示	357	naizi	"unofficial announcement"
8363	白波	357	siranami	whitecaps
8364	名著	357	meityo	"famous book"
8365	冷淡	357	reitan	coolness
8366	架線	356	kasen	"aerial wiring"
8367	色調	356	sikityoo	"color tone"
8368	精巧	356	seikoo	elaborate
8369	石仏	356	isibotoke	"stone Buddhist image"
8370	定席	356	zyooseki	"one's habitual seat"
8371	南国	356	nangoku	"southern countries"
8372	魅惑	356	miwaku	attraction
8373	隔週	355	kakusyuu	"every other week"
8374	学士	355	gakusi	"university graduate"
8375	趣意	355	syui	"main meaning"
8376	性差	355	seisa	"sex difference"
8377	晴天	355	seiten	"fine weather"
8378	短調	355	tantyoo	"minor key"
8379	定食	355	teisyoku	"set meal"
8380	適法	355	tekihoo	legality
8381	土星	355	dosei	Saturn
8382	詩情	354	sizyoo	"poetic sentiment"
8383	湿原	354	situgen	"marshy grassland"
8384	書名	354	syomei	"book title"
8385	新装	354	sinsoo	redecoration
8386	伝送	354	densoo	transmission
8387	電器	354	denki	electric
8388	道理	354	doori	reason
8389	不可	354	huka	wrong
8390	要衝	354	yoosyoo	"important point"
8391	旧型	353	kyuugata	"old style"
8392	協和	353	kyoowa	concord
8393	極秘	353	gokuhi	"absolute secrecy"
8394	金髪	353	kinpatu	"blond hair"
8395	至難	353	sinan	"most difficult"
8396	植生	353	syokusei	vegetation
8397	大輪	353	tairin	large-flowered
8398	中指	353	nakayubi	"middle finger"
8399	追撃	353	tuigeki	pursuit
8400	痛切	353	tuusetu	keen
8401	銅版	353	doohan	"copper plate"
8402	熱弁	353	netuben	"fervent speech"
8403	万事	353	banzi	all
8404	臨調	353	rintyoo	"special council or commission"
8405	枠外	353	wakugai	limits
8406	好天	352	kooten	"fine weather"
8407	手際	352	tegiwa	performance
8408	出征	352	syussei	"going to war"
8409	同列	352	dooretu	"same rank or file"
8410	不運	352	huun	unlucky
8411	従属	351	zyuuzoku	subordination
8412	順序	351	zyunzyo	order
8413	進攻	351	sinkoo	attack
8414	積算	351	sekisan	addition
8415	組曲	351	kumikyoku	"musical suite"
8416	灯台	351	toodai	lighthouse
8417	日当	351	nittoo	"daily allowance"
8418	不戦	351	husen	"war renunciation"
8419	何人	350	nanibito	everyone
8420	凶悪	350	kyooaku	atrocious
8421	潔白	350	keppaku	innocence
8422	減俸	350	genpoo	"salary reduction"
8423	呼気	350	koki	exhalation
8424	巧者	350	koosya	cleverness
8425	社宅	350	syataku	"company owned house"
8426	爽快	350	sookai	refreshing
8427	争議	350	soogi	dispute
8428	即答	350	sokutoo	"immediate reply"
8429	当落	350	tooraku	"election results"
8430	南口	350	minamiguti	"south entrance"
8431	南中	350	nantyuu	"crossing the meridian"
8432	流儀	350	ryuugi	style
8433	臨検	350	rinken	"on-the-spot investigation or inspection"
8434	懐妊	349	kainin	pregnancy
8435	基板	349	kiban	substrate
8436	気球	349	kikyuu	balloon
8437	勤勉	349	kinben	diligent
8438	雑踏	349	zattoo	congestion
8439	実相	349	zissoo	reality
8440	先見	349	senken	foresight
8441	平地	349	hirati	"level ground"
8442	迷子	349	maigo	"lost child"
8443	両雄	349	ryooyuu	"two great men"
8444	過食	348	kasyoku	overeating
8445	義弟	348	gitei	"younger brother-in-law"
8446	斤量	348	kinryoo	weight
8447	孝行	348	kookoo	"filial piety"
8448	采配	348	saihai	baton
8449	習性	348	syuusei	habit
8450	信奉	348	sinpoo	belief
8451	是認	348	zenin	approval
8452	対称	348	taisyoo	symmetry
8453	熱唱	348	nessyoo	"singing enthusiastically"
8454	悲壮	348	hisoo	heroic
8455	無口	348	mukuti	reticence
8456	乱発	348	ranpatu	"random firing"
8457	快音	347	kaion	"pleasant sound"
8458	高給	347	kookyuu	"high salary"
8459	尋常	347	zinzyoo	common
8460	水系	347	suikei	"water system"
8461	洗顔	347	sengan	face-washing
8462	町中	347	matinaka	downtown
8463	電圧	347	denatu	voltage
8464	同案	347	dooan	"same plan"
8465	同地	347	dooti	"the same place"
8466	農道	347	noodoo	"farm road"
8467	分校	347	bunkoo	"branch school"
8468	保湿	347	hositu	moisturizer
8469	音質	346	onsitu	"tone quality"
8470	画質	346	gasitu	"image quality"
8471	寒波	346	kanpa	"cold wave"
8472	訓告	346	kunkoku	reprimand
8473	荒野	346	arano	wasteland
8474	紺色	346	koniro	"deep blue"
8475	枝豆	346	edamame	edamame
8476	主文	346	syubun	"the text"
8477	新訳	346	sinyaku	"new translation"
8478	専修	346	sensyuu	specialization
8479	着想	346	tyakusoo	conception
8480	問診	346	monsin	interview
8481	陸地	346	rikuti	land
8482	漢詩	345	kansi	"Chinese poetry"
8483	気丈	345	kizyoo	stout-hearted
8484	内局	345	naikyoku	"bureau in a ministry"
8485	奉行	345	bugyoo	magistrate
8486	未完	345	mikan	incomplete
8487	威厳	344	igen	dignity
8488	一助	344	itizyo	help
8489	課金	344	kakin	charges
8490	海事	344	kaizi	"maritime affairs"
8491	強者	344	kyoosya	"strong man"
8492	孤高	344	kokoo	isolation
8493	殉職	344	zyunsyoku	"dying at one's post"
8494	詳述	344	syoozyutu	"detailed explanation"
8495	上官	344	zyookan	"superior officer"
8496	沈痛	344	tintuu	grave
8497	適任	344	tekinin	competent
8498	遊泳	344	yuuei	swimming
8499	腕前	344	udemae	ability
8500	徘徊	344	haikai	loitering
8501	自供	343	zikyoo	confession
8502	手数	343	tesuu	trouble
8503	等々	343	tootoo	"and so on"
8504	背信	343	haisin	betrayal
8505	爆風	343	bakuhuu	"bomb blast"
8506	拘禁	342	kookin	intern
8507	合金	342	gookin	alloy
8508	座敷	342	zasiki	"tatami room"
8509	焦燥	342	syoosoo	impatience
8510	中原	342	tyuugen	"middle of a field"
8511	日商	342	nissyoo	"The Japan Chamber of Commerce and Industry"
8512	兵馬	342	heiba	"arms and cavalry"
8513	菩薩	342	bosatu	bodhisattva
8514	眠気	342	nemuke	sleepiness
8515	幼稚	342	yooti	infancy
8516	一身	341	issin	oneself
8517	義勇	341	giyuu	heroism
8518	藤本	341	toohon	"climbing trees"
8519	裏口	341	uraguti	backdoor
8520	円熟	340	enzyuku	ripeness
8521	塩化	340	enka	chloride
8522	押印	340	ooin	"affixing one's seal"
8523	横暴	340	ooboo	violence
8524	仮眠	340	kamin	nap
8525	逆説	340	gyakusetu	paradox
8526	月日	340	tukihi	time
8527	砂防	340	saboo	"erosion control"
8528	失恋	340	situren	"disappointed love"
8529	車軸	340	syaziku	axle
8530	州法	340	syuuhoo	"state law"
8531	能率	340	nooritu	efficiency
8532	夢想	340	musoo	dream
8533	各駅	339	kakueki	"every station"
8534	故事	339	kozi	origin
8535	山野	339	sanya	"hills and fields"
8536	祝儀	339	syuugi	congratulations
8537	城跡	339	zyooseki	"castle site"
8538	人影	339	hitokage	"figure of a person"
8539	石碑	339	sekihi	"stone monument"
8540	堕落	339	daraku	depravity
8541	代走	339	daisoo	"substitute runner"
8542	大尉	339	taii	captain
8543	短命	339	tanmei	"short life"
8544	不評	339	huhyoo	"bad reputation"
8545	予兆	339	yotyoo	omen
8546	学説	338	gakusetu	theory
8547	雑音	338	zatuon	noise
8548	厨房	338	tyuuboo	kitchen
8549	朝廷	338	tyootei	"Imperial Court"
8550	天災	338	tensai	"natural calamity"
8551	公告	337	kookoku	"public announcement"
8552	広角	337	kookaku	wide-angle
8553	号外	337	googai	"newspaper extra"
8554	超越	337	tyooetu	transcendence
8555	放牧	337	hooboku	pasturage
8556	密造	337	mituzoo	"illicit manufacturing"
8557	寒風	336	kanpuu	"cold wind"
8558	除隊	336	zyotai	"military discharge"
8559	飛翔	336	hisyoo	flight
8560	分身	336	bunsin	parturition
8561	文様	336	monyoo	pattern
8562	報知	336	hooti	information
8563	預託	336	yotaku	depositing
8564	臨戦	336	rinsen	"preparing for action or battle"
8565	駅弁	335	ekiben	"boxed lunch bought at a station"
8566	王制	335	oosei	"monarchical system"
8567	減刑	335	genkei	"reduction of penalty"
8568	国選	335	kokusen	"selection by the state"
8569	際限	335	saigen	limits
8570	死語	335	sigo	"dead language"
8571	蛇口	335	zyaguti	faucet
8572	信教	335	sinkyoo	"religious belief"
8573	川岸	335	kawagisi	riverbank
8574	即刻	335	sokkoku	immediately
8575	文筆	335	bunpitu	"literary art"
8576	面白	335	omosiro	amusing
8577	詩的	334	siteki	poetic
8578	伸長	334	sintyoo	expansion
8579	心拍	334	sinpaku	"heart rate"
8580	成育	334	seiiku	growth
8581	登庁	334	tootyoo	"attending a government office"
8582	河童	333	kappa	kappa
8583	絵柄	333	egara	pattern
8584	観劇	333	kangeki	theatre-going
8585	公証	333	koosyoo	authentication
8586	自画	333	ziga	"picture painted by oneself"
8587	床上	333	yukaue	"on a floor"
8588	針金	333	harigane	wire
8589	千金	333	senkin	"1000 pounds"
8590	草食	333	soosyoku	herbivorous
